username,comment,sentiment
@ikichaniago1708,"Setelah bandingin video si wapres dengan video bang Ferry Irwandi, it's crazy to think. Kapasitas seorang wapres dan kapasitas seorang sipil bisa segini jauhnya. Inkompetensi yang luar biasa di jabatan yang begitu strategis. Thanks bro Ferry Irwandi, you've shown your level and capacity.",netral
@SFwanCh,"Gembar gembor AI, giliran animasi buatan animator lokal hype langsung numpang ambil ketenaran, padahal pemerintah gada ngasih bantuan apapun ke animatornya tapi si sales ai ini kek paling berjasa",negatif
@PRO-Channel-ANDIM,"Kami yakin kemampuan-mu, sama dengan ayah-mu.  Maka-nya kami memilih Anda Mas Gibran dengan pak Prabowo.  Selamat berkarya.",netral
@joniganteng499,"Gibran “riding the wave” → dia memakai narasi kesuksesan generasi muda seperti film Jumbo, padahal pemerintah tidak berperan dalam produksinya.  Dukungan Gibran terhadap AI → disampaikan seolah-olah visioner, tapi belum ada implementasi nyata yang dirasakan masyarakat.  Kritik publik dan dislike tinggi di video → muncul karena audiens merasa pesan yang disampaikan tidak tulus, terlalu retoris, dan bahkan terlihat cuma membangun pencitraan.  Dan yang bikin tambah panas:  Jalan Gibran ke kursi wapres penuh kontroversi, termasuk soal putusan MK yang dinilai ""disulap"" agar dia bisa maju, padahal secara usia belum cukup.  Kedekatan keluarga dengan kekuasaan (Jokowi & MK) bikin publik merasa ini bukan regenerasi, tapi dinasti politik.  Jadi, semua kritik dan reaksi keras di kolom komentar atau dislike video itu bukan tanpa alasan. Bukan semata karena “netizen baper”, tapi karena publik merasa nalar, etika, dan keadilan dalam demokrasi sedang dipermainkan.  ChatGpt  .",positif
@MaskiRefers,"Terima kasih, Video ini menginspirasi kami bhw intelektualitas tdk bisa dibeli dgn jabatan dan koneksi ortu kalau dia sendirinya emang kosong dan ga mau upgrade.",positif
@malaauati1615,"Pas pak Prabowo bilang: ""Kadang orang pinter malah ga jadi apa²"" berasa mikir oh iya ya, ga punya ordal, ga ada jalur ordal yang bisa diandalkan, yang bisa tabrak² aturan, sehingga kepintaran anak muda Indonesia ada harganya, terlihat kwalitasnya",positif
@ARENAGATSU,pahlawan yang gugur di kemerdekaan menangis melihat negara besar ini punya wapres seperti sekarang ..,netral
@atoey28,"makin Yakin anak gw harus hanyak baca buku biar kaya Bung Hatta ada kharismanya sbagai pemimpin,,,ga kaya wapres yg dicariin bapaknya",positif
@KataKakek92,"Yuk ngumpul, yg setuju Gibran di undang di Podcast2 untuk menjabarkan lebih detail tentang ""Bonus Demografi"" ini, biar kelihatan beneran faham apa g' dengan yg dia omongin.",netral
@ricardocandra805,"harusnya dikasih trigger warning, ga semua orang sanggup buat nonton muka dia even di thumbnailnya aja",negatif
@bagasanom8468,Udah 1M view lebih. Tapi gak ada iklan judol. Amazing.,positif
@klikajaguys,"Saya mewakili 280 juta jiwa yg anda bilang, plisss jgn siksa kami lagi, Cukup 5 thn ini saja. Jgn dteruskan di 2029",negatif
@THEBATMAN-r3e,sungguh orang yang kuat. (kuat rasa malu nya),negatif
@bestbefore666,"biasakan yg kesini pause video, dislike, baca komentar2, report, pergi dan lupakan orang yg ada di video. isinya ngak ngok ngak ngok. mission complete",negatif
@AinunSulthoni-g3b,yakinlah apa yg dilakukan demi kebaikan memang jalannya tidak mulus dan gampang. Semangat mas wapres 🫰 anak muda memang harus bekerja dan berpikir serta berakhlak agar tidak lupa diri dan ttp dijalur yg benar.,positif
@beobei9,PUASSSSSS PARAHHHH GW BACA KOMENTAR2 TUAN2 & NYONYA2 SEMUA!!   mas udah mas tau diri ya tolong!,negatif
@bongkar_jagat9510,"Dialog dong cil bukan monolog,, tunjukkan kwalitas dirimu sbgai pejabat publik. Gaji mu sangat besar tiap langkahmu ada harga mahal yg dikluarkan oleh rakyat melalui negara.",negatif
@notveryniceguy,ERA Suram sepanjang sejarah negara indonesia. Ambyar!,netral
@ellyfeehily2068,"Ayolahhh...jauh jauh ke sini, nyari komen positif, koq malah pegel jempolku, asli ga nemu..",negatif
@nazwanazas,"Salut sama timnya mulai dari kameramen, editor, dll, pasti cape bgtt nge gendong 1 orang biar keliatan pinter",negatif
@frediyulianto2048,Lebih tertarik baca komentar drpda isi videonya,netral
@SaptoPrasetio,"Melihat mayoritas isi komen nya, seperti ada secerah harapan. Ternyata masih bnyk yg ""waras"" dan kritis di Indonesia ku. Kita sbnrnya resah dengan negeri kita, prihatin dan hampir putus harapan",negatif
@NALARProject,Permisi pak wapres...... Mungkin komentar ini akan keras dan menohok akan tetapi jujur jujuran aja pak........ Ok masuk ke komentar........ Bapak kan sebagai Wapres nih nah kebijakan bapak yg kami inginkan agar generasi emas ini siap dan bertarung d 2045 nanti kalau sekedar diskusi biarkanlah akan masuk pada para akademisi dan influencer..... Nah skarang tugas bapak untuk membuat kebijakan yang keren agar bisa dan merawat mereka untuk siap berkompetisi di 2025 ...... Kami butuh kebijakan yg nyata bukan sekedar bersuara..... Yuk pak sama sama bertindak biat tantangan bisa kita hadapi sama sama di masa tua nanti.....Mulai dari Sekarang kalau nggak yah ngak jadi apa apa kedepannya.... Terima kasih  pak mungkin bisa d baca meskipun ber belit belit,negatif
@ulersakti2,wow video ini sangat menginspirasi saya untuk pindah kewarganegaraan,positif
@ekal1774,"lebih menarik baca komen2nya dari pada dengerin orang baca teks, setuju ga temen2???",negatif
@boomfakta9383,Alhamdulillah warga netizen kompak. Sekarang waktunya Kita sadarkan orang2 tua yang dicuci otaknya karena cuma nonton tv. Karena jumlah mereka banyak sebagai pemilih. Oiya sama titip warga tiktok juga. Trims.,netral
@Dandi.wardani_bozes,Manusia akan dikalahkan oleh Ai  Lawak bgt woilah,negatif
@jn.06,Tolong naikkan gaji editornya. Keren banget deh edit videonya. Ga bosen mengedit yapping orang.,positif
@rieskirizani4057,"Contoh buruk anak muda,berarti untuk menggapai cita cita segala hal dihalal kan,bahkan ngacak2 konstitusi,lewat bantuan paman,numpang nama bapakk..sungguh moralll yang sangaat sangattt tepatt buat anak muda masa depan....yang suram",negatif
@ZombieFosion,"Tidak usah membicarakan, membuka atau menimbulkan lapangan pekerjaan, di belahan dunia sana ada seorang anak yang di carikan kerja oleh bapak nya",netral
@mfahrilhusaeni2899,bagus ni kalo susah tidur nonton ini,positif
@mustopaibrahim3366,"Saya cuma paus video nya dan baca komentar nya ,karna itu lebih real dari semua pandangan sebenarnya",positif
@MohamadtaufikTahir-t7h,"Saran buat gibran !!!dari kami pelosok indonesia""hai gibran sadarlah dan buka matamu ,,,bnyk sekali orang yg tidak suka dengan anda...coba lihat dislike dan comment negatif....sy berharap anda bersikap ksatria terima kebenaran,,negara ini bukan RT dan tidak bisa di buat sepele",negatif
@nurcholik5388,"Yang dibutuhkan bangsa ini adalah  generasi yg cerdas , ikhlas , solusi nyata bukan narasi kosong , mandiri tanpa ikut campur ORDAL . WASSALAM , MERDEKA",positif
@HeriPyg,"Anda seorang wapres yg peduli dan bekerja untuk indoneaia tidak seperti wapres lainnya yg hanya ongkang"" Saja, salam semangat dari saya",netral
@Lukman_Violin,"tanpa bapakmu anda hanya mas mas biasa  . jangan harap kami terinspirasi dan tercerahkan oleh video anda . Tidak mungkin kami mendengar "" nasihat "" dari orang yang bahkan enggan mendengar kami",netral
@abds.sykr23,"""Bonus demografi itu peluang, bukan jaminan.” Iya, betul. Tapi yang ngomong kayak gini duduknya empuk, kerjanya warisan, dan dompetnya… ya Allah, tebelnya kayak skripsi yang gak dikumpul-kumpulin.  Kita nih, rakyat kecil, dikasih wejangan tentang produktivitas, disuruh manfaatin usia emas, sambil nonton video anak pejabat yang dicarikan kerjaan sebelum dia sempat nulis CV.  Gibran bicara soal bonus demografi?   “Wah, keren banget! Muda, visioner, melek data.” Padahal yang ngangkat dia ke panggung itu bukan kerja keras doang, tapi juga tangga lipat merek “Bapakku Mantan Presiden”.  Kita? Disuruh lomba jadi produktif di tengah lapangan yang miring.  Lo bayangin, kita disuruh lari sprint… dia naik eskalator, terus bilang: “Kok kalian lama banget sih nyampe finish?”  Dan parahnya lagi, ketika lo protes, lo dibilang iri dan gak bersyukur.   Padahal lo cuma minta kompetisi yang adil, bukan ikut-ikutan minta kerjaan dari bokap.",negatif
@qonitaashilani3627,"Innalilahi wa Inna ilaihi Raji'un, Indonesia punya wapres seperti itu!!!!!!",netral
@sweatygreasestudio,"How long? Not long, cause what you reap, is what you sow.",negatif
@AbiYoso-z1s,"Bang mending aktif lagi di kaskus, lebih natural (saran aja)",netral
@muhammadalwan5239,"Setelah beberapa lama saya scroll kolom komen, saat itu juga saya sadar bahwa bangsa ini masih memiliki harapan untuk dipimpin oleh orang2 yang capable",netral
@titinmulyati8366,Kesini cuma baca komen yg aduhai rata rata negatif ..sampe cape nge like pliss,negatif
@putrabangsachanellwibowo4905,Akhirnya ada peluang dimasa depan untuk anak gw . Nak jadi pejabat apalagi jadi wapres lu gaperlu baca banyak buku apalagi iQ tinggi cukup punya koneksi Nak️️,netral
@TeeNinetyII,"Animator Jumbo be like: ""Bapak kemana aja, selama ini kita pake anggaran sendiri dan usaha sendiri. Bapak malah bangga banget dengan menyebut industri animasi baru, padahal bapak sendiri support AI dan bahkan mengatakan kalau anak muda tidak pakai AI, akan kalah.""",positif
@xiexie6349,"moggo mas wapres diskusi tentang bonus demografi di kampus2, dimana mereka adalah calon tenaga kerja produktif...ditunggu ya....",netral
@blazex8311,"My wapres titipan, sang raja fomo",netral
@alvinchanelmisteri5068,Kerenn..baru bisa nonton pak,positif
@telormatasapi3869,"setelah saya Lulus Kuliah, saya mencari kerja sendiri dengan masukan Lamaran di Perusahan” alhamdulillah ada Panggilan, dengan hasil kerja keras sendiri tanpa bantuan alm Bapak.",positif
@kevinsulistyo5653,"Mas. Anda inkompeten mas. Mending mundur aja, gausah terlalu ambisius. Apakah worth it jadi orang nomor 2 di negeri ini tapi dapet sumpah serapah dari jutaan rakyat?",negatif
@pratamaoriee6312,Bangga punya wapres yg pinter dan ahli ekonomi. Terima kasih sebesar2nya untuk mu alm.Mohammad Hatta.,positif
@dhales77,"mas wapres saya dulu belajar bikin pidato mapel bahasa indonesia itu sulit loh dari yg pidato konteks nya narasi, ajakan himbauan, yg bener2 isi nya singkat padat jelas. tapi mas wapres pidato isi nya kemana2 poin2 nya tapi bapak keren bisa jadi wapres meskipun di bantu sm pakde",positif
@marfuazhari546,"Saat ini bukan soal prestasi atau narasi, tapi soal etika dan konstitusi yang dilangkahi demi ambisi pribadi. Demokrasi dilubangi atas nama dinasti, dan sejarah akan mencatat siapa yang diam, siapa yang melawan, dan siapa yang tega menggadaikan masa depan demi kekuasaan.",negatif
@wilsontrivano,"Yakinlah , ketika bapak kita menjabat dapat dipastikan kita kerja. Tanpa perlu mikir, tanpa pikiran , bisa menjabat. Negeri paling konyol di dunia saat ini",negatif
@thawtawofficial,"Mas tolong sadar diri, ini Negara bukan mainan  taruhannya nasib anak cucu. Yuk kembali ke solo, berikan jabatannya ke yang lebih mumpuni  saya mohon sebagai salah satu warga negara Indonesia.",netral
@asmunmumun,"Pak wapres tolong pertemukan rakyat Indonesia dengan tokoh yang namanya FufuFafa, sepertinya beliau punya kapasitas untuk menata bangsa dan negara ini",netral
@berliancahyadi279,"Anda itu cuma menang privilege, Mas Gibran. Tanpa bapak Mulyono kesayanganmu itu yang melampiaskan rasa sayang kepadamu sampai kebablasan, paling detik ini kamu jadi mas-mas pekerja kantoran biasa. Gak lebih.",negatif
@ogengrenba51,"Peradaban bangsa Indonesia juga baru 1 kali punya wapres kaya lu, wapres yg dicariin kerja sama bapaknya. Semoga ga kejadian lagi",negatif
@Oyin-y4o,Salut sama ketidakmaluannya,negatif
@uncled4ans,"Pak Wapres, kolom komen diamatikan aja ga sih?",netral
@imamsudirman8200,"Knapa banyak y dislike , padahal dia adalah wapres y di pilih oleh 58 persen rakyat indonesia, jadi curiga kalo kaya gini",negatif
@Fsallll,"Gausah bawa2 ""Jumbo"", kalian PEMERINTAH sama sekali tidak ada partisipasi didalamnya justru kalian yg bikin indrustri animasi di indonesia itu mati, bahkan untuk animasi propanganda makan siang gratis aja kalian pakai AI",netral
@matamataejen,"Jan bawa bawa Jumbo plis, jan numpang tenar. Selama ini elu yg ngegencarin AI, pas ada animasi ini, masyarakat indo sendiri yg mati matian ngedukung ni animasi ampe otw masuk top 3 film terlaris sepanjang masa di indonesia. Peran pemerintah mana coba, ngedanain untuk pembuatan animasinya aja ga. Malu kali ama tetangga yg ada Badan pemerintahannya yg ngurus pendanaan animasi buatan sana bukan sekedar ngomong doang tpi ada tindakannya, mereka ngedanain untuk company'' film malaysia buat film'' animasi.",negatif
@sitinurazizah4926,"Mimpi apa bangsa ini sampai pada titik memprihatinkan ini, ya Allah ya Rabb ampuni kami, bantu kami,keluarkan kami dari kenistaan ini",negatif
@barcelona3829,"Berfikir inovatif, cerdas dan revolusioner dalam berfikir dengan narasi yg tertata secara intelektual. Keren Anies Baswedan",positif
@Aulia_D.Arcs.,"Komposisi Isi Video   90 % = Narasi Normative, General Word with Flat Expression, Footage Self- Narcissistic, dan branding Project APBN/Government  9,9 % = FOMO, Riding a Wave Film Jumbo dan Timnas U17 to WC 0.1 % = Motivasi Generasi Muda/Bonus Demografi  God Bless for Indonesia futures and peoples.",netral
@bustanhasim4086,"Generasi mudah bangkit bukan karena pamannya hakim MK, tapi karena berkarya.",positif
@Lowbitmotion,"Saran gw bwt yutup, ini video jangan sampe ditekdon ya, biarin rakyat melepaskan gairah keresahannya disini",negatif
@bakaljuara,"Berpuluh-puluh tahun pembangunan demokrasi Indonesia, rusak oleh satu keluarga",negatif
@jn.06,"Aku beruntung banget, lahir di keluarga yang suka baca. Tapi heran ga sih? Orang yang ga suka baca malah jadi Presiden dan Wakil Presiden.",positif
@mikaelbokau,Ditunggu main2 ke semua kampus di Indonesia mas wapres,netral
@jokosustiyono1760,Video berikutnya mengenai perjuangan Fufufafa menjadi pejabat negara. Pasti banyak yng like,netral
@fajarhariyanto7793,Ini ngeditnya pakai AI ga bang,netral
@chumssi1340,"Makasih banyak wapresku yang memikirkan rakyatnya sampai rela gabisa beliin sepatu branded buat anaknya... Saya bangga dengan beliau, Bapak Proklamasi sekaligus Bapak Koperasi Indonesia Bapak Muhammad Hatta",positif
@ALISHATiViS,akeh sing ndeleng youtube..,netral
@widcourse,"Peluang besar dari bonus demografi jika tingkat SDM Indonesia kualitas tinggi sedangkan sekarang pengangguran sekitar 7 JT lebih, lapangan pekerjaan makin sempit, pendidikan makin sulit dan belum merata. Percuma terus gembor bonus demografi sedangkan tatanan birokrasi dan korupsi masih melekat di setiap pejabat dan rakyat makin tercekik dengan ekonomi Indonesia yang semakin sulit.   Semoga Indonesia Bisa cerah suatu saat nanti",negatif
,"ngarep bonus demografi di dalam gamplay dark sistem yang yang carut marut, menghadapi koruptor takut , takut menegakan keadilan , lapangan kerja susah, ngimpi!",negatif
@MDV2CHANNEL,Salah satu quote yg sangat menginspirasi beliau: WE WOK DE TOK NOT ONLE TOK DE TOK,positif
@faturrhasibuan,salut njir 1 hari naik dari 14rb likes jadi 100rb likes. uang pajak kita buat beli likes wkwkwk,positif
@pipitdiar621,Bonus demografi  Bonus dari bapak  Bonus dari paman,netral
@stolaircraftsuyanto9728,"Baru x ini ada wakil presiden yang sangat jelas tidak ada wibawanya sama sekali bagi rakyat,kaya gini mau jadi presiden 2029-2034?mau dibawa kemana negeri ini.",negatif
@syamsrizal7465,"Generasi muda tetbaik, adalah editor video ini, sabarnya udah beda level",netral
@bobychanel548,Nggilani ndadak lewat berandaku,negatif
@NSaysSilly,"aku sampe sini langsung pause vidoenya, lanjut ke sesi komentarnya, mantap",positif
@b.g.rahman9442,Anak manja lagi ceramahin kita kita yang berjuang untuk hidup dengan hasil jerih payah dan keringat sendiri tanpa bantuan bapak apalagi paman.,negatif
@ninjapurpleee,"Saya belajar dari Mas Gibran, bahwa punya Paman di MK itu adalah suatu kebanggaan",netral
@putzg11id42,bro is not ferry irwandi,netral
@holiosriyos6304,Mantan Wapres Kakek Jend Tri Sutrisno sampe bikin wasiat buat Presiden Prabowo melihat anak ini MIRIS ....,netral
@fufubaba_fufufini,"Allhamdulillah walaupun yg like video ini buzzer semua, tapi setelah melihat komentar jadi lega",positif
@asepsurachman-m9l,Kedepan Indonesia harus dipimpin orang orang yang punya kapasitas dan kredibilitas yang benar benar mumpuni. Bukan pemimpin karbitan hasil mengamgkangi aturan dan mengandalkan kekuasaan orang tuanya atau siapapun.,negatif
@bennypurnama9531,"Pemuda indonesia berani menerima tantangan....termasuk menerima anda pak wapres, kenapa bisa?",netral
